NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
SaveOldDir,kl,lz,hi,hn,*
ScaledResolution,nj,pr,*,*,*
ScreenShotHelper,fz,gx,*,*,*
ServerCommand,*,*,ab,ac,Holds the server command and a reference to the command handler
ServerConfigurationManager,*,*,el,ep,*
ServerGUI,*,*,lu,mc,*
ServerGuiCommandListener,*,*,p,q,*
ServerGuiFocusAdapter,*,*,q,r,*
ServerWindowAdapter,*,*,o,p,*
Session,fk,gg,*,*,Stores username and session id
ShapedRecipes,he,id,fc,fg,*
ShapelessRecipes,qe,sp,le,lm,*
SignModel,ny,qf,*,*,*
Slot,fi,ge,dw,ea,Inventory slot base class
SlotArmor,mu,ow,ir,iy,Inventory slot used for the 4 equip slots for armor.
SlotCrafting,un,xl,ok,ou,Inventory slot containing the crafting result.
SlotFurnace,rt,uj,mg,mo,*
SorterStatsBlock,*,os,*,*,*
SorterStatsItem,*,fu,*,*,*
SoundManager,uj,xe,*,*,*
SoundPool,gg,he,*,*,*
SoundPoolEntry,at,bb,*,*,*
SpawnListEntry,av,bd,al,al,*
SpawnerAnimals,bv,ci,bf,bi,"Used to spawn creatures near to players. There are two instances, one which spawns animals and one (of the subclass) that spawns monsters."
StatBase,ru,uk,mh,mp,*
StatBasic,*,wt,*,oh,*
StatCollector,ct,dg,bw,bz,*
StatCrafting,qf,ss,lf,ln,*
StatDistance,ao,*,ag,*,*
StatFileWriter,te,vy,*,*,*
StatList,hs,is,fm,fq,*
StatStringFormatKeyInv,*,jn,*,*,*
StatTime,ud,*,oa,*,*
StatTypeDistance,*,bg,*,an,*
StatTypeSimple,*,bj,*,ar,*
StatTypeTime,*,bh,*,ap,*
StatsSyncher,*,cd,*,*,*
StepSound,by,cl,bk,bn,Sound type when walking on a block type
StepSoundSand,ab,ag,u,v,client side refers to gravel
StepSoundStone,ad,ai,v,w,client side refers to glass
StringTranslate,kt,ml,hm,hr,load language file
Teleporter,qy,tm,*,*,*
TerrainTextureManager,qu,ti,*,*,*
Tessellator,lj,na,*,*,Draws vertexes
TextureCompassFX,aj,ar,*,*,*
TextureFX,ai,as,*,*,"Base class for texture effects (lava, flames, compass, ...)"
TextureFlamesFX,os,ra,*,*,*
TextureLavaFX,bo,bz,*,*,*
TextureLavaFlowFX,gr,hq,*,*,*
TexturePackBase,f,h,*,*,*
TexturePackCustom,rs,ui,*,*,*
TexturePackDefault,me,ob,*,*,*
TexturePackList,gw,hv,*,*,*
TexturePortalFX,gh,hf,*,*,*
TextureWatchFX,ir,jy,*,*,*
TextureWaterFX,rv,ul,*,*,*
TextureWaterFlowFX,lr,nl,*,*,*
TexturedQuad,qk,sv,*,*,*
ThreadCommandReader,*,*,bi,bl,Get input from commandline
ThreadConnectToServer,sx,vq,*,*,*
ThreadDownloadImage,pu,sf,*,*,*
ThreadDownloadImageData,dl,ea,*,*,*
ThreadDownloadResources,ce,cr,*,*,*
ThreadLoginVerifier,*,*,cj,cm,Verify username/password at the minecraft.net website
ThreadMonitorConnection,*,*,nj,ns,*
ThreadRunIsoClient,qi,st,*,*,*
ThreadServerApplication,*,*,bg,bj,Main thread of the server application
ThreadSleepForever,ii,jm,bj,bm,*
ThreadStatSyncherReceive,*,ud,*,*,*
ThreadStatSyncherSend,*,uc,*,*,*
TileEntity,ma,nx,ih,in,*
TileEntityChest,hx,iy,fp,ft,Implement gh (inventory classe). Class inheritance is stronger than interface implementations for the naming scheme.
TileEntityDispenser,al,at,ae,af,*
TileEntityFurnace,oy,rg,kg,ko,Implement gh (inventory classe). Class inheritance is stronger than interface implementations for the naming scheme.
TileEntityMobSpawner,cc,cq,bn,bq,*
TileEntityMobSpawnerRenderer,z,ae,*,*,*
TileEntityNote,py,sj,ky,lg,*
TileEntityRenderer,jf,kp,*,*,*
TileEntitySign,uf,xa,oc,ol,*
TileEntitySignRenderer,mp,op,*,*,*
TileEntitySpecialRenderer,hk,il,*,*,*
Timer,mx,oz,*,*,Used to profile the game for performance stats
UnexpectedThrowable,jz,lk,*,*,*
Vec3D,bb,bm,ar,au,"A Vector consisting of 3 doubles, with helper functions. Name Vec to avoid clash with java.lang.Vector"
WatchableObject,ju,le,gy,hc,*
World,eb,et,cw,da,Manager class for the world (only used directly on the client for singleplayer)
WorldBlockPositionType,px,si,*,*,Stores block positions and types
WorldChunkManager,tq,wl,nt,oc,*
WorldChunkManagerHell,fu,gr,ed,eh,*
WorldClient,ke,lq,*,*,World on the client for multiplayer
WorldGenBigTree,gt,hs,ew,fa,Grows big trees
WorldGenCactus,eu,fm,dm,dq,*
WorldGenClay,kj,lv,hf,hk,*
WorldGenDungeons,dr,eh,co,cr,Generates dungeons
WorldGenFire,tn,wi,nq,nz,*
WorldGenFlowers,aq,ay,ah,ah,Generates flowers and mushrooms
WorldGenForest,g,j,f,g,*
WorldGenGlowStone1,fa,fs,dp,dt,*
WorldGenGlowStone2,ou,rc,kd,kl,*
WorldGenHellLava,na,pd,iu,jb,*
WorldGenLakes,co,db,bt,bw,*
WorldGenLiquids,tj,we,nm,ny,Generate water and lava
WorldGenMinable,ej,fb,de,di,"Generates dirt, gravel, coal ore, iron ore, gold ore, redstone ore and diamond ore in underground"
WorldGenPumpkin,sv,vo,nd,nm,*
WorldGenReed,hd,ic,fb,ff,*
WorldGenTaiga1,mv,ox,is,iz,*
WorldGenTaiga2,sq,vj,my,nh,*
WorldGenTrees,ub,wx,nz,oj,Grows normal trees
WorldGenerator,mk,oh,im,is,Base class for world generators
WorldInfo,dj,dy,ch,ck,*
WorldManager,*,*,cz,dd,*
WorldProvider,sy,vr,ne,nn,*
WorldProviderHell,sf,uw,mo,mw,*
WorldRenderer,cp,dc,*,*,*
WorldServer,*,*,dc,dg,Server world manager
