=== Minecraft Coder Pack 2.12 ===
*** Compiling Minecraft
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderFish.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderGhast.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderGiantZombie.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderGlobal.java]]
[parsing completed 202ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderHelper.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderItem.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Render.java]]
[parsing completed 11ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderLightningBolt.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderList.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderLiving.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderManager.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderMinecart.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderPainting.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderPig.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderPlayer.java]]
[parsing completed 2ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderSheep.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderSlime.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderSnowball.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderSorter.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderSpider.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderSquid.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderTNTPrimed.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/RenderWolf.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SaveConverterMcRegion.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SaveFormatComparator.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SaveFormatOld.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SaveHandler.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SaveHandlerMP.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SaveOldDir.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ScaledResolution.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ScreenShotHelper.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Session.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ShapedRecipes.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ShapelessRecipes.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SignModel.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SlotArmor.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SlotCrafting.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SlotFurnace.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Slot.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SorterStatsBlock.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SorterStatsItem.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SoundManager.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SoundPoolEntry.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SoundPool.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SpawnerAnimals.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/SpawnListEntry.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatBase.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatBasic.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatCollector.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatCrafting.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatFileWriter.java]]
[parsing completed 2ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatList.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatsSyncher.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatStringFormatKeyInv.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatTypeDistance.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatTypeSimple.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StatTypeTime.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StepSound.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StepSoundSand.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StepSoundStone.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/StringTranslate.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Teleporter.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TerrainTextureManager.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Tessellator.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureCompassFX.java]]
[parsing completed 3ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TexturedQuad.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureFlamesFX.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureFX.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureLavaFlowFX.java]]
[parsing completed 4ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureLavaFX.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TexturePackBase.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TexturePackCustom.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TexturePackDefault.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TexturePackList.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TexturePortalFX.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureWatchFX.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureWaterFlowFX.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TextureWaterFX.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadConnectToServer.java]]
[parsing completed 2ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadDownloadImageData.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadDownloadImage.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadDownloadResources.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadRunIsoClient.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadSleepForever.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadStatSyncherReceive.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/ThreadStatSyncherSend.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntityChest.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntityDispenser.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntityFurnace.java]]
[parsing completed 2ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntity.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntityMobSpawner.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntityMobSpawnerRenderer.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntityNote.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntityRenderer.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntitySign.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntitySignRenderer.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/TileEntitySpecialRenderer.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Timer.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/UnexpectedThrowable.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Vec3D.java]]
[parsing completed 3ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WatchableObject.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldBlockPositionType.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldChunkManagerHell.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldChunkManager.java]]
[parsing completed 16ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldClient.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenBigTree.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenCactus.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenClay.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenDungeons.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenerator.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenFire.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenFlowers.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenForest.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenGlowStone1.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenGlowStone2.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenHellLava.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenLakes.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenLiquids.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenMinable.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenPumpkin.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenReed.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenTaiga1.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenTaiga2.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldGenTrees.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldInfo.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/World.java]]
[parsing completed 8ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldProviderHell.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldProvider.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/WorldRenderer.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/patches/Start.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/patches/hy.java]]
[parsing completed 0ms]
[search path for source files: /home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/sources/minecraft]
[search path for class files: /usr/lib/jvm/java-8-openjdk-amd64/jre/lib/resources.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/rt.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/sunrsasign.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/jsse.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/jce.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/charsets.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/jfr.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/classes,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/zipfs.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/sunpkcs11.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/nashorn.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/sunjce_provider.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/dnsns.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/localedata.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/java-atk-wrapper.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/icedtea-sound.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/sunec.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/cldrdata.jar,/usr/lib/jvm/java-8-openjdk-amd64/jre/lib/ext/jaccess.jar,/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/minecraft.jar,/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/jinput.jar,/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar,/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl_util.jar,/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/patches/modloader.jar]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/applet/Applet.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/BorderLayout.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/Canvas.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/io/PrintStream.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/net/URL.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/Panel.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/javax/accessibility/Accessible.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/Object.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/Container.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/Component.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/image/ImageObserver.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/MenuContainer.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/io/Serializable.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/LWJGLException.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/opengl/DisplayMode.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl_util.jar(org/lwjgl/util/glu/GLU.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/Runnable.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/Thread.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/String.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/io/File.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/Enum.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/Comparable.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/List.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/Toolkit.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/datatransfer/Clipboard.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/datatransfer/DataFlavor.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/datatransfer/Transferable.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/ArrayList.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/input/Keyboard.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/input/Mouse.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/opengl/GL11.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/Random.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/opengl/ContextCapabilities.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/opengl/GLContext.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/nio/IntBuffer.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/opengl/ARBOcclusionQuery.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/Color.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/Graphics.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/awt/image/BufferedImage.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/io/IOException.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/io/InputStream.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/nio/Buffer.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/nio/ByteBuffer.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/Collection.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/HashMap.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/Iterator.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/Map.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/Set.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/javax/imageio/ImageIO.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/opengl/Display.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/nio/FloatBuffer.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/javax/xml/parsers/DocumentBuilder.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/javax/xml/parsers/DocumentBuilderFactory.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/minecraft.jar(paulscode/sound/SoundSystem.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/minecraft.jar(paulscode/sound/SoundSystemConfig.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/minecraft.jar(paulscode/sound/codecs/CodecJOrbis.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/minecraft.jar(paulscode/sound/codecs/CodecWav.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/minecraft.jar(paulscode/sound/libraries/LibraryLWJGLOpenAL.class)]]
[loading ZipFileIndexFileObject[/home/nullexception/Desktop/minecraft/(Storage)-MCP/minecraft1.5b/jars/bin/lwjgl.jar(org/lwjgl/input/Cursor.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/Throwable.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/lang/Class.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/TreeSet.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/text/DecimalFormat.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/text/NumberFormat.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/net/UnknownHostException.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/zip/DataFormatException.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/util/zip/Inflater.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/net/MalformedURLException.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/net/URI.class)]]
[loading ZipFileIndexFileObject[/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym(META-INF/sym/rt.jar/java/io/DataOutput.class)]]
